top_category,sub_category,naics_code,n_pois,naics_2digit
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Other Measuring and Controlling Device Manufacturing,334519,6,33
"Newspaper, Periodical, Book, and Directory Publishers",Book Publishers,511130,1,51
Nondepository Credit Intermediation,All Other Nondepository Credit Intermediation,522298,9994,52
Nondepository Credit Intermediation,Consumer Lending,522291,11576,52
Nonscheduled Air Transportation,Nonscheduled Chartered Passenger Air Transportation,481211,3,48
Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,17989,62
"Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,16029,45
"Office Supplies, Stationery, and Gift Stores",Office Supplies and Stationery Stores,453210,14923,45
Offices of Dentists,Offices of Dentists,621210,198496,62
Offices of Other Health Practitioners,Offices of All Other Miscellaneous Health Practitioners,621399,46903,62
Offices of Other Health Practitioners,Offices of Chiropractors,621310,69861,62
Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330,96209,62
Offices of Other Health Practitioners,Offices of Optometrists,621320,60871,62
Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,44904,62
Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,518937,62
Offices of Physicians,"Offices of Physicians, Mental Health Specialists",621112,1669,62
Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210,178873,53
Oil and Gas Extraction,Crude Petroleum Extraction ,211120,18,21
Other Ambulatory Health Care Services,All Other Miscellaneous Ambulatory Health Care Services,621999,2079,62
Other Ambulatory Health Care Services,Ambulance Services,621910,1723,62
Other Ambulatory Health Care Services,Blood and Organ Banks,621991,1304,62
Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,713990,25150,71
Other Amusement and Recreation Industries,Bowling Centers,713950,5169,71
Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,126564,71
Other Amusement and Recreation Industries,Golf Courses and Country Clubs,713910,14058,71
Other Amusement and Recreation Industries,Marinas,713930,5310,71
Other Amusement and Recreation Industries,Skiing Facilities,713920,666,71
Other Financial Investment Activities,Investment Advice,523930,64197,52
Other Financial Investment Activities,Miscellaneous Financial Investment Activities,523999,13063,52
Other Financial Investment Activities,Portfolio Management,523920,138,52
Other Food Manufacturing,Coffee and Tea Manufacturing,311920,6,31
Other Food Manufacturing,Perishable Prepared Food Manufacturing,311991,91,31
Other Information Services,All Other Information Services,519190,1,51
Other Information Services,Internet Publishing and Broadcasting and Web Search Portals,519130,2,51
Other Information Services,Libraries and Archives,519120,15233,51
Other Investment Pools and Funds,Other Financial Vehicles,525990,149,52
Other Leather and Allied Product Manufacturing,All Other Leather Good and Allied Product Manufacturing,316998,74,31
Other Miscellaneous Manufacturing,"Doll, Toy, and Game Manufacturing",339930,1,33
Other Miscellaneous Manufacturing,"Gasket, Packing, and Sealing Device Manufacturing",339991,1,33
Other Miscellaneous Manufacturing,Jewelry and Silverware Manufacturing,339910,8,33
Other Miscellaneous Manufacturing,Sign Manufacturing,339950,2295,33
Other Miscellaneous Manufacturing,Sporting and Athletic Goods Manufacturing,339920,92,33
Other Miscellaneous Store Retailers,All Other Miscellaneous Store Retailers (except Tobacco Stores),453998,17126,45
Other Miscellaneous Store Retailers,Art Dealers,453920,20642,45
Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores,453910,18042,45
Other Miscellaneous Store Retailers,Tobacco Stores,453991,27486,45
Other Motor Vehicle Dealers,Boat Dealers,441222,5595,44
Other Motor Vehicle Dealers,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",441228,18345,44
Other Motor Vehicle Dealers,Recreational Vehicle Dealers,441210,3885,44
Other Personal Services,All Other Personal Services,812990,28560,81
Other Personal Services,Parking Lots and Garages,812930,11591,81
Other Personal Services,Pet Care (except Veterinary) Services,812910,36747,81
Other Personal Services,Photofinishing Laboratories (except One-Hour),812921,3930,81
"Other Professional, Scientific, and Technical Services",Photographic Services,54192,31839,54
"Other Professional, Scientific, and Technical Services","Photography Studios, Portrait",541921,845,54
"Other Professional, Scientific, and Technical Services",Veterinary Services,541940,48768,54
Other Residential Care Facilities,Other Residential Care Facilities,623990,1,62
Other Schools and Instruction,All Other Miscellaneous Schools and Instruction,611699,11825,61
Other Schools and Instruction,Automobile Driving Schools,611692,6624,61
Other Schools and Instruction,Exam Preparation and Tutoring,611691,15357,61
Other Schools and Instruction,Fine Arts Schools,611610,607,61
Other Schools and Instruction,Language Schools,611630,4978,61
Other Schools and Instruction,Sports and Recreation Instruction,611620,23887,61
Other Support Activities for Transportation,Packing and Crating,488991,188,48
Other Support Services,All Other Support Services,561990,213,56
Other Support Services,Convention and Trade Show Organizers,561920,26,56
Other Telecommunications,All Other Telecommunications,517919,9,51
Other Telecommunications,Telecommunications Resellers,517911,40,51
Other Transit and Ground Passenger Transportation,All Other Transit and Ground Passenger Transportation,485999,2595,48
Other Transit and Ground Passenger Transportation,Special Needs Transportation,485991,1,48
Other Transportation Equipment Manufacturing,"Motorcycle, Bicycle, and Parts Manufacturing",336991,51,33
Other Wood Product Manufacturing,All Other Miscellaneous Wood Product Manufacturing,321999,4049,32
Other Wood Product Manufacturing,Prefabricated Wood Building Manufacturing,321992,4,32
Outpatient Care Centers,All Other Outpatient Care Centers,621498,4293,62
Outpatient Care Centers,Family Planning Centers,621410,7785,62
Outpatient Care Centers,Freestanding Ambulatory Surgical and Emergency Centers,621493,3730,62
Outpatient Care Centers,Kidney Dialysis Centers,621492,12791,62
Outpatient Care Centers,Outpatient Mental Health and Substance Abuse Centers,621420,183,62
